PROJECT_CODE,INDICATION_UNIQUE_CODE,TVP_POPULATIONS_OF_INTEREST,TVP_NEED,TVP_COMPETITIVE_POSITIONING_CURRENT_SOC,TVP_COMPETITIVE_POSITIONING_FUTURE_SOC_COMPETITORS,TVP_VALUE_TO_PRESCRIBERS,TVP_VALUE_TO_PATIENTS,TVP_VALUE_TO_PAYERS,TVP_STATUS,TVP_SOURCE_RECORD_IDS,CREATED_BY,MODIFIED_BY,CREATED_DATE,MODIFIED_DATE
SAR442970,SAR442970_IND005,Adult and pediatric patients on the continuum of primary focal segmental glomerulosclerosis (FSGS)/minimal change (MCD) kidney disease,"Patients seeking remission of nephrotic syndrome, reduction of relapses, sparing of steroid use, prevent end-stage kidney disease (ESKD)","A targeted disease modifying therapy for FSGS/MCD because it modifies abnormalities of immune response that are involved in the pathogenesis of primary FSGS/MCD, leading to a better benefit/risk profile compared to current standard of care (SOC; steroids) or potential future SOC (sparsentan)
- Disease modifying therapy
- Higher rates of proteinuria reduction in nephrotic patients 
- Faster onset of action
- Corticosteroid sparing/minimizing
- Slowing in kidney function decline (i.e., rate of EGFR)
- Higher rates of complete/partial remission; lower rates of relapses
- Lower risk of infection/better tolerability","- Disease modifying therapy
- Higher rates of proteinuria reduction in nephrotic patients 
- Faster onset of action
- Slowing in kidney function decline
- Higher rates of complete/partial remission; lower rates of relapses
- Better toxicity profile; No liver toxicity (REMS program)
- Flexibility in RAAS dose adjustment (because Sparsentan is an angiotensin receptor blocker (ARB) and an endothelin receptor antagonist (ERA))","- Less drug-drug interactions 
- Reduction of steroids
- Thrombosis and infection risk","- Less polypharmacy
- Better quality of life due to less use of corticosteroids effects
- Improvement of nephrotic syndrome 
- Delay and/or prevent ESKD","- Delay and/or prevent ESKD
- Cost offsets: Less hospitalization, shorter hospital stays for severe nephrotic syndrome and disease complications + Less monitoring",Draft,"274,275,276,277,278,279,280",Sandrine.Turpault@sanofi.com,Berangere.Thiers@sanofi.com,2024-10-19 00:29:00.000,2024-10-31 20:46:00.000
SAR442970,SAR442970_IND006,Individuals (12+ yo) with new onset T1D (diagnosed within 100 days) with clinically meaningful β-cell function (C-peptide ≥ 0.2 nmol/L) ​,Preservation of their β-cell function and better clinical management - better HbA1c control; delay of treatment intensification [fewer to no (unlikely) insulin injections] and potentially less clinical hypoglycemic episodes​,"The best available treatment showing disease modification in newly diagnosed T1DM by preserving β-cell mass and function resulting in improved HbA1c control, delayed treatment intensification [lower dose/fewer to no (unlikely) insulin injections], with less clinical hypoglycemic episodes. ​
(This product is also expected to be the best available treatment for at-risk individuals to delay progression to stage 3 T1D)​
- Significant C-peptide preservation [Change in the C-peptide AUC from baseline to W52 superior to SoC, 1ary, W104 2ary and mid-term evidence form LTS] ​
- Continuous glucose monitoring (CGM) better time in range (TIR) (70-180 mg/dL) (or HbA1c) measured as % vs placebo (Co 1ary or 2ary, powered)​
- Proportion of patients who remain C-peptide positive (>0.2 nmol/L) superior to placebo at W52 and 104​
- Proportion of patients reaching the target of A1C < 7.0% at 12 months superior to placebo (Co 1ary or 2ary, powered)​
- Percent of patients in partial remission [insulin dose-adjusted HbA1c (IDAA1C) score ≤9 at W52 and 104] ​
- Delayed treatment intensification and/or reduced need for daily insulin (2ary)​
- Decrease frequency/intensity of hypoglycemia (safety)​","First in Class bi-specific aTNF/OX40L​
Best in class efficacy/ safety profile","- Preserving patients’ ß-cell mass and function thus minimizing the need for treatment intensification​
- Makes T1DM easier to manage​
- Lower incidence of severe hypoglycemia​
- Postponing long term complications ","QoL benefit for patients vs SOC​
- Freedom to pursue normal life sports and education​
- More good days: better management of glucose, fewer hypoglycemia events, reduced insulin needs, more TIR, and delayed treatment intensification​
- Self-efficacy: “Anti-TNF/OX40L helps your body to keep control of your disease” ​

QoL benefit for caregivers vs SOC ​
- Better psychological well-being: Lower anxiety/ lower burden/lower family impact","- Be part of modifying T1D course ​
- Better glucose control and/or ß-cell mass as a surrogate for LT complications​
- Reduced insulin needs; lower insulin injections leading to better management (less hypos, reducing hospitalization)​
- Caregivers benefit especially for Cost-effectiveness countries",Draft,"386,387,388,389,390,391,392",Berangere.Thiers@sanofi.com,Berangere.Thiers@sanofi.com,2024-10-31 20:45:00.000,2024-10-31 20:45:00.000
SAR443122,SAR443122_IND002,"Adult patients with moderately to severely active ulcerative colitis (UC) who have had an an inadequate response to, lost response to, or are intolerant to conventional therapy.","Need a reduction in disease burden resulting in improved quality of life in normal daily living.
","HUMIRA (adalimumab) Indirect Treatment Comparison:
(1) Significantly higher rates of initial clinical response and sustained clinical remission in advanced therapy naive and experienced patients.
(2) Corticosteroid-free remission.
(3) Better safety profile (no black box warning).
(4) Twice-daily oral vs SC self injection.","RINVOQ (upadacitinib) Indirect Treatment Comparison:
(1) Similar rates of initial clinical response and sustained clinical remission in advanced therapy naive and experienced patients.
(2) Better safety profile (no black box warning including MACE, thrombosis, malignancies, or serious infections).
(3) No restriction to post-TNF therapy.","(1) High rate of clinical remission that is sustained long-term.
(2) Better mucosal healing (Endoscopic improvement).
(3) Reduction in use of corticosteroids;
(4) Effective in all patient types, irrespective of prior therapy.","(1) Rapid symptom relief and sustained remission.
(2) Reduction in GI and extraintestinal symptoms, including bowel urgency, rectal bleeding, abdominal pain, stool frequency, and fatigue.
(3) Convenience of a twice-daily oral vs injection/infusion.
(4) No significant side effects including avoiding serious infections.
(5) Significant improvement in quality of life and ability to return to activities of daily living.","(1) More predictable/sustained response, leading to controlled/stable disease and reduced administrative burden from medication switching.
(2) Reduction in associated medical costs (hospitalization, steroid-related effects).
(3) Reduction in surgeries, including repeat procedures.
(4) Improvement to patient QoL leading to an increase adherence to treatment/medication.",Published,"505,506,507,508,509,510,511",christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-12-04 16:35:00.000,2024-12-04 16:35:00.000
SAR443579,SAR443579_IND001,"Patients with relapsed or refractory CD123+ acute myeloid leukemia (AML), with or without targetable mutations including those requiring rescue post HSCT
","Therapeutic options prolonging survival with minimal side effects, reducing disease burden and improved quality of life

","Clinically meaningful improvement in mOS by 3 months to 8 months (Chemo: 5 months1)
CR+CRi 40% (vs 30% chemo, median 2 prior LOT1)
mDOR 25 months (chemo 16.8 months2) to be refined
Better safety profile, tolerability and HRQoL vs. systemic SoC
Transfusion independence /  reduced transfusion burden
Reduced neutropenia related hospitalizations
","Higher efficacy CR+CRi 40% (superior to current results of competitors whose CR+CRi= 19-30%)
Improved safety; NK-cell engagement reduces CRS risk
No need for T-cell engineering (cost and delay) and associated risk
","Improved efficacy and less management of adverse events
Identification of target AML patients (CD123+) but can be largely prescribed (no IDH or CD33 or FTL3 limited)
Alleviate the management of CRS risk","Prolongation of life with limited side effect
Efficient and durable relief of fatigue, weakness, fever and infections
Improved tolerability
Reduced risk of CRS translating into fewer days of hospitalization","Given high competition, need for validation of clinically relevant efficacy thresholds
Manageable budget impact in small patient population, contingent on final pricing strategy
Safety and improved QoL/symptom palliation, reduced transfusion, days of hospitalization vs. (1) generic SoC; (2) agents associated with CRS and IRR.",Draft,"22,23,24,25,26,27,28",Estelle.Bellec@sanofi.com,Estelle.Bellec@sanofi.com,2023-12-13 09:07:00.000,2023-12-13 09:07:00.000
SAR443579,SAR443579_IND002,"Patients age>60,  with CD123+ acute myeloid leukemia (AML) who are treatment naïve and unfit for intensive induction chemotherapy because of age >75 or at least one comorbidity (e.g. h/o CHF, EF<50%, chronic stable angina, DLCO<65%, FEV1<65%, ECOG PS 2-3)
","Improved rates and sustained induction of remission, with less residual disease in patients
","vs Venetoclax:
Improvement in mOS to >20 months (vs Ven+HMA: ~17 months)1,2
Better CR+CRi 90% vs Ven+HMA: ~70-50% 1,2,3
mDOR >21 months (vs Ven+HMA 15-21 mo1)
Better safety profile, tolerability and HRQoL vs. SoC
Transfusion independence /  reduced transfusion burden
Reduced neutropenia related hospitalizations","Possible SoC: Combinations of two of the following agents: daunorubicin, cytarabine, decitabine, azacitidine, BCL2 inhibitor (venetoclax) or agents that target AML subpopulations, e.g. FLT3, IDH, or KIT mutations, anti-CD33 ADC (Mylotarg), or other CD123-TCE’s, XmAb14045, 
NKCE will have better efficacy/tolerability balance: Ph2 Ven+dec (10d) CR+CRi: 84% with mOS: 18.1 mo associated with 47% severe neutropenia","Improved efficacy and less management of adverse events
Identification of target AML patients (CD123+) 
Alleviate the management of CRS risk","Prolongation of life with limited additional chemo side effect
Efficient and durable relief of fatigue, weakness, fever and infections
Improved tolerability in patients with risky co-morbidities.
Reduced risk of CRS translating into less hospitalization","Manageable budget impact in small patient population, contingent on: 
Validation of clinically relevant efficacy thresholds
Final pricing strategy
Safety and improved QoL/symptom palliation, reduced transfusion, days of hospitalization vs. (1) generic SoC; (2) agents associated with CRS and IRR.",Draft,"29,30,31,32,33,34,35",Estelle.Bellec@sanofi.com,Estelle.Bellec@sanofi.com,2023-12-13 09:16:00.000,2023-12-13 09:16:00.000
SAR443765,SAR443765_IND001,"Adult and pediatric patients aged 12 years and older with severe asthma
","Need reductions in severe exacerbations, improvements in lung function, reduction in lung-function decline, and reduced oral corticosteroid use, leading to overall improved quality of life 
","Indirect treatment comparison:  
Greater reduction in annualized rate of severe exacerbations at Week 52 
Increased improvement on lung function (FEV1) from baseline at Week 52
OCS reduction  
Improvement in post-BD FEV1
Improved QoL and activities of daily living
Similar safety profile
Potentially less frequent dosing
",,"More efficacious treatment options vs current SOC 
Fewer exacerbations and hospitalizations
Improved patient quality of life
Durable efficacy offers potential for less frequent maintenance dosing
Safety profile makes long-term use possible 
","Greater reduction in severe exacerbations and increased improvement on lung function with no safety concerns
Improved QoL 
Reduction in OCS use 
Durable efficacy offers potential for less frequent maintenance dosing
Long-term use possible 
","Fewer hospitalizations and healthcare resource utilization
Similar drug budget impact vs available treatment options
Improvement in patient QoL 
Trial population and endpoints similar to current SOC 
",Draft,"491,492,493,494,495,496,497",Karima.Larabi@sanofi.com,Karima.Larabi@sanofi.com,2024-12-04 12:31:00.000,2024-12-04 12:31:00.000
SAR443765,SAR443765_IND002,"Adult patients with inadequately controlled chronic rhinosinusitis with nasal polyposis
","Need to reduce severity of nasal polyps and extent of nasal congestion to reduce need for long-term systemic steroid use and/or surgery and improve sense of smell, leading to overall improved quality of life

","Indirect treatment comparison 
Similar change in NPS 
Better nasal congestion / obstruction (0-3) from baseline at Week 24 and Week 52
Higher change in LMK-CT (0-24) at Week 24 
Better reduction in systemic steroid use; similar improvement in sense of smell and reduction in need for surgery at Week 52
More convenient dosing schedule of Q4W vs Q2W
Similar safety profile
","Indirect treatment comparison 
Better efficacy with higher change in NPS and nasal congestion / obstruction (0-3) from baseline at Week 52
Higher reduction in need for systemic steroid use and surgery at Week 52
Statistically significant improvement in sense of smell (UPSIT) Similar dosing (SC, Q4W)
Similar safety profile
","More efficacious treatment option for patients with inadequately controlled CRSwNP
Fewer surgeries and repeat surgeries
Fewer disease-related patient side effects (pain and sleep disturbances)
Well-tolerated with few infections
Safety profile makes long-term use possible
","More efficacious treatment option for patients who are inadequately controlled on current therapies
Improved nasal congestion / obstruction and sense of smell 
Less head pain and sleep disturbances
Durable efficacy enables reduced need for systemic steroids and surgeries in the future
Long-term use possible
","Fewer surgeries/repeat surgeries and healthcare resource utilization
Similar drug budget impact vs available treatment options
Improvement in QoL
Similar patient population to current SOC (adults with inadequately controlled CRSwNP)
",Draft,"575,576,577,578,579,580,581",Karima.Larabi@sanofi.com,Karima.Larabi@sanofi.com,2025-01-20 15:13:00.000,2025-01-20 15:14:00.000
SAR443765,SAR443765_IND003,"Patients with moderate to severe COPD with an eosinophilic phenotype (≥ 150 cells/mL)
","Need reductions in severe exacerbations, improvements in lung function, and reduction in lung-function decline leading to overall improved activities of daily living 
","Indirect treatment comparison 
Increased reduction in annualized rates of moderate-to-severe exacerbations
Increased improvement in FEV1
Improvement in overall patient quality of life (E-RS: COPD, SGRQ, others)
Improved Q4 dosing regimen
Similar safety profile
","Indirect treatment comparison 
Increased reduction in annualized rates of moderate-to-severe exacerbations
Similar improvements in FEV1
Improvement in overall patient quality of life (E-RS: COPD, SGRQ, others)
Similar Q4 dosing regimen
Similar safety profile
","Fewer exacerbations and hospitalizations
Improvements in lung function
Significant improvements in overall respiratory symptoms
Improved patient quality of life
","Greater reduction in severe exacerbations and increased improvement on lung function with no safety concerns
Improved symptoms including overall respiratory symptoms, cough, and sputum 
Improved QoL 
","Fewer hospitalizations and healthcare resource utilization
Similar drug budget impact vs available treatment options
Improvement in patient QoL 
Trial population and endpoints similar to current SOC 
",Draft,"582,583,584,585,586,587,588",Karima.Larabi@sanofi.com,Karima.Larabi@sanofi.com,2025-01-20 15:37:00.000,2025-01-20 15:37:00.000
SAR443765,SAR443765_IND004,"Patients aged 12 years and older with moderate-to-severe atopic dermatitis whose disease is not adequately controlled with topical prescription therapies or with systemic therapies or when those therapies are not advisable
","Need to achieve rapid and durable pruritus and lesion improvement, leading to overall improved quality of life 
","Indirect treatment comparison 
Greater proportion of patients achieving EASI-75, EASI-95, and vIGA-AD score 0-1 at Week 16
Fast onset of action; improvement in pruritus and lesions at 1 week 
More convenient dosing schedule of Q4W vs Q2W
Improved QoL
Similar safety and tolerability; no black box warnings 
","Indirect treatment comparison 
Greater proportion of patients achieving EASI-75, EASI-95, and vIGA-AD score 0-1 at Week 16
Fast onset of action; ; improvement in pruritus and lesions at 1 week 
Improved QoL
Similar safety and tolerability; no black box warnings 
","More efficacious treatment option for patients with inadequately controlled AD
Reduction in patient symptoms such as itch, anxiety/depression, and sleep disturbances
Well-tolerated without need for induction dose necessary
Safety profile makes long-term use possible
","Improvement in pruritus and lesions as soon as Week 1
Improvement in QoL and activities of daily living
Fewer disease-related symptoms such as itch, anxiety/depression, and sleep disturbances
Long-term use possible
","Greater proportion of patients achieving skin clearance 
Improved QoL 
Well defined patient population, similar to currently approved therapies 
Budget neutral vs newer available alternatives
",Draft,"589,590,591,592,593,594,595",Karima.Larabi@sanofi.com,Karima.Larabi@sanofi.com,2025-01-20 15:43:00.000,2025-01-20 15:43:00.000
SAR443765,SAR443765_IND005,"Adult and pediatric asthma patients aged 12 years and older with eosinophilic phenotype and elevated levels of fractional exhaled nitric oxide
","Need early intervention to reduce Th 2 inflammation, lower risk of severe exacerbations, and maintain lung function over time 
",,"The first biologic that enables early intervention in high-risk asthma patients to reduce risk of exacerbations and halt progression to severe disease 
","A treatment option that enables proactive and early intervention in patients with elevated risk factors
Fewer exacerbations and hospitalizations
Delayed progression/prevention of long-term asthma complications
Better patient symptom control
Reduction in OCS/ICS utilization and associated complications
Safe profile that enables long term use 
","Lower risk of severe exacerbations and lung function decline 
Improved QoL and activities of daily living
Reduction in OCS/ICS utilization and associated complications
Delayed progression/prevention of long-term asthma complications
","A predictive and prognostic biomarker that identifies high-risk asthma patients and broadens biologic-eligible population 
Well-defined, narrow, patient population (FeNO: ≥ 50 ppb​, EOS: ≥ 300 cells/mL​, Exacerbation: ≥ 1 in past 12 months)
Reduction in hospitalizations and asthma associated non-drug spend
Reduction in long-term budget impact associated with disease progression and associated comorbidities
",Draft,"568,569,570,571,572,573,574",Karima.Larabi@sanofi.com,Karima.Larabi@sanofi.com,2025-01-20 14:43:00.000,2025-01-20 14:43:00.000
SAR444656,SAR444656_IND001,"Patients 12+ years with moderate-to-severe AD whose disease is not adequately controlled with topical prescription therapies or when those therapies are not advisable [US], who are candidates for systemic therapies [EU]","Inadequate response to topical treatments, need better efficacy treatment with convenient oral administration, including less type II dominant patients (e.g., Asians, intrinsic, etc.)
","A highly potent selective degrader of IRAK4, which is an efficacious therapy with a new mechanism-of-action, able to significantly reduce AD lesions and pruritus with sustained effect with no need for lab-monitoring. 
Based on indirect treatment comparison versus Dupixent (IL-4R antagonist):
Efficacious systemic therapy with sustained effect
Mild and transient QTc prolongation 
Benefits from oral administration ","A highly potent selective degrader of IRAK4, which is an efficacious therapy with a new mechanism-of-action, able to significantly reduce AD lesions and pruritus with sustained effect with no need for lab-monitoring. 
Based on indirect treatment comparison versus Rivoq (JAK1i):
Less efficacious but best balance between efficacy and safety 
No boxed warning and lab-monitoring
Mild and transient QTc prolongation
Benefits from oral administration ","An oral treatment with no lab-monitoring
Removes lesions, relieves itch and minimizes flares
Improves sleep and anxiety","Convenience of oral (conservation, no needle)
Effective with or without topicals 
Removes lesions, relieves itch and skin pain and minimizes flares
Improves sleep and anxiety","TBD: value differentiation versus Dupixent (and/or Rinvoq) and added therapeutic value in target patient groups, improved QoL, improved productivity, budget impact, cost saving, in some markets cost-effectiveness",Published,"50,51,52,53,54,55,56",christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:24:00.000,2024-01-23 06:24:00.000
SAR444656,SAR444656_IND003,Adult patients (18+) with moderate-to-severe Hidradenitis Suppurativa,"Inadequate response to oral antibiotics or anti-TNF, need better efficacy treatment with convenient administration route ","A novel highly potent selective degrader of IRAK4, which is an oral therapy with sustained and higher efficacy versus Humira (at least numerically)
Based on indirect treatment comparison
Better and sustained efficacy with respect to HiSCR50 vs. Humira (based on average HiSCR PIONEER I & II)
No boxed warning
Mild and transient QTc prolongation 
Benefits from oral administration ","A novel highly potent selective degrader of IRAK4, which is an oral therapy with sustained and higher efficacy versus Cosentyx (at least numerically)
Based on indirect treatment comparison
Better efficacy
Mild and transient prolongation
Benefits from oral administration","Highly effective oral therapy
Reduces abscess and inflammatory nodules, improves pain, reduces both frequency & duration of flares and time to recurrence, minimizes suppuration and odor 
Improvement in depression, anxiety and the need to prescribe antidepressants (TBD)
Can minimize the usage of antibiotics and (non)opioid oral (TBD)","Highly effective oral therapy
Reduces abscess and inflammatory nodules, reduces drainage & fatigue, improves pain, reduces both frequency & duration of flares and time to recurrence, minimizes suppuration and odor 
Improvement in depression, anxiety, and suicidal ideation
Improves patient quality of life ","Relatively small patient population with high unmet need 
TBD: differentiation versus Humira (and/or Cosentyx) in reduction of resources use associated with HS complications (visits, hospitalizations, surgeries, comedication/comorbidities), improved QoL, improved productivity and in some markets cost-effectiveness
Can minimize the usage of antibiotics and (non)opioid oral (TBD)",Published,"43,44,45,46,47,48,49",christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:21:00.000,2024-01-23 06:26:00.000
SAR444671,SAR444671_IND002,"Adult patients suffering from primary persistent or chronic ITP who have had an insufficient response to a previous treatment including IVIg or CS
","Long-term and durable platelet counts at or above 50,000/μL combined with oral convenience and favorable safety
","A first-in-class reversible BTKi with a convenient RoA, that provides durable efficacy with rapid onset of action, a favorable safety profile and a reduction in fatigue 

Versus current treatments: 

Tavalisse, TPO-RAs (Nplate®, Promacta®, Doptelet®) and RTX (off-label)

A first-in-class reversible BTKi with a convenient RoA, that provides durable efficacy with rapid onset of action, a favorable safety profile and a reduction in fatigue 
- Superior efficacy with respect to both response rate and onset of action vs. Tavalisse* 
- Stability in platelet counts vs. TPO-RAs*
- Superior safety profile vs. Tavalisse (neutropenia and hypertension), TPO-RAs (Thrombo-embolic risk/black 
  box warning with Promacta, liver tox) and RTX (risk of infections due to permanent B cell depletion)*, does 
  not alter platelet aggregation, less risk of bleeding
- Convenient: rilzabrutinib benefits from oral administration (vs. IV RTX, SQ Nplate) and is well tolerated (vs. 
  dietary restrictions with Promacta)
- Fast onset of action (vs. RTX and Tavalisse): with a median time to first response among responders of 15 
  days, rilzabrutinib quickly alleviates the burden of ITP*
- Not B-cell depleting: as opposed to RTX, rilzabrutinib (B-cell modulation) does not induce B-cell depletion 
  which increases the risk of infection. Thus, rilzabrutinib may confer promise of more favorable safety profile 
  in terms of infection risk 
- Differentiated and favorable MoA: rilzabrutinib is targeted therapy, specific and innovative (reversibility) 
  which treats the underlying cause as it targets platelet destruction instead of just production (vs. TPO-RAs)

",,"- Stable, consistent platelet counts with ability to see response quickly 
- Provides a potential solution for patients not responding to current 
  treatments
- No B cell depletion (low risk of serious infection)
- No identified risk requiring specific follow-up (TE risk with TPO-RA, 
  liver monitoring with Tavalisse and Promacta, HTN with Tavalisse)
- Less recourse to rescue therapy","- Prevent bleeding and improve HRQoL (fatigue, bleed) 
- Reduce ITP complications (out-patient, hospitalization, surgery)
- Convenient oral ROA, particularly suitable to patient with high risk of 
  bleeding
- Good tolerability, limited side effects","- Favorable health economics with ability to delay/reduce rescue therapy, 
  increase utilities (EQ5D)
- Treatment responders quickly identified",Published,"393,394,395,396,397,398,399",Angela.Dudda@sanofi.com,Angela.Dudda@sanofi.com,2024-11-01 12:22:00.000,2024-11-29 16:47:00.000
SAR444671,SAR444671_IND003,Adult patients with IgG4-RD,Require prevention of relapses and organ damage accrual; reducing use of corticosteroids while improving quality of life,"The 1st in class oral BTKi  allowing to achieve remission off corticosteroids and other immunomodulators; reduce the risk of relapses while significantly reducing the use of corticosteroids, with a good safety profile and convenient oral route of administration.
[vs. RTX]:
- Convenient oral route of administration.
- Better safety profile with no risk of infection and serious adverse events (preserved immune system: contrary to RTX, rilzabrutinib induces B cell modulation instead of a permanent depletion, which limits the risk of infections ).","The 1st in class oral BTKi  allowing to achieve remission off corticosteroids and other immunomodulators; reduce the risk of relapses while significantly reducing the use of corticosteroids, with a good safety profile and convenient oral route of administration.
[vs. inebilizumab]:
- Convenient oral route of administration.
- Better safety profile with no risk of infection and serious adverse events.","Minimizes the management of AE.
Safe treatment option with low risk of infections.
Rapid offset of action adds flexibility to clinical management.
Convenient especially with patients used to oral RoA (CS) and/or reluctant to injections, no need for infusions.","Maintained control of disease.
Convenient route of administration.
Improvement of QoL.
No need for infusions.
Reduce or eliminate AE.","IgG4 is a rare disease that requires early and effective treatment to prevent fibrosis and organ damage.
Rilzabrutinib is a BTKi that has a proven safety record.
Rilzabrutinib is a reversible BTKi that has high efficacy and a low relapse rate.
Rilzabrutinib demonstrates minimal budget impact resulting from its proven ability to reduce IgG4-RD flares that affect an estimated 20,000 patients in the US.",Published,"351,352,353,354,355,356,357",Yasuhiro.Maruhashi@sanofi.com,Yasuhiro.Maruhashi@sanofi.com,2024-10-29 20:44:00.000,2024-10-29 21:11:00.000
SAR444671,SAR444671_IND007,Patients 12 years and older with uncontrolled asthma (defined as ACQ5 ≥1.5) who are on medium-high dose inhaled corticosteroid (ICS) plus long-acting β2 adrenergic agonist (LABA) therapy with/without asthma exacerbation (severe/non-severe) in past year,An oral option for symptomatic patients to help control their asthma symptoms and reduce exacerbations,"vs. Biologic SoC:
The first BTKi indicated in Asthma, combining oral convenience, fast and sustained asthma symptom control, reduce exacerbation and good tolerability.
(Indirect treatment comparison): ​
- More convenient route of administration - oral BID​.
- Superior efficacy in achieving fast and sustained asthma control across all symptom in ACQ5 and regradless of type-2 phenotype​.
- Efficacy in reduction in exacerbations in non type-2 patients.
- Well tolerated, no injection site reaction, anaphylaxis, hypereosinophilia, no immunogenicity.","vs. Tezepelumab:
The first BTKi indicated in Asthma, combining oral convenience, fast and sustained asthma symptom control, reduce exacerbation and good tolerability.
(Indirect treatment comparison):
- More convenient route of administration - oral BID​.
- Superior efficacy in achieving fast and sustained asthma control across all symptom improvements in ACQ5.
- Well tolerated, no injection site reaction, hypersensitivity, immunogenicity.","- Reduction of severe and non-severe exacerbations vs. ICS + LABA​.
- Rapid improvement  in asthma symptoms control and quality of life and  vs. ICS + LABA​.
- Increase adherence by eliminating inhaler technique or injectable issues​.
- Alternative to patients who are not eligible for biologics​.
- Not associated with safety concerns requiring close monitoring.","- Rapid improvement of asthma symptoms and increased ability to lead a normal life​.
- Reduced exposure to steroids – oral and inhaled.​
- Reduced use of inhaled reliever medication​.
- Improved dosing assurance​.
- Minimal safety concerns​.
- Alternative to patients who are not eligible or do not prefer injectable therapies.","- (Non- Type 2) Superior efficacy in patients with non type 2 leading to improvements in morbidity including reduction in hospital days, emergency room visits, and lost work/school days​.
- (Type 2) Less costly alternative to biologics for type 2 population​.
- Oral OCS-sparing effect (TBC).",Published,"358,359,360,361,362,363,364",Yasuhiro.Maruhashi@sanofi.com,Yasuhiro.Maruhashi@sanofi.com,2024-10-29 21:07:00.000,2024-10-29 21:07:00.000
SAR444671,SAR444671_IND008,Adult patients suffering from primary warm autoimmune hemolytic anemia (wAIHA) who have failed at least 1 prior treatment,"Need further improvement in Hgb, relief from fatigue, and symptoms of anemia","An oral BTK inhibitor that provides first-in-class/best-in-class efficacy and a favorable safety profile
Comparison to Rituximab:

First-in-class BTKi indicated in wAIHA; Provide rapid and sustained improvement in anemia (with magnitude comparable to Rituximab) and reduction on hemolysis; Improve fatigue, dyspnea and QoL; Improve symptoms of anemia; Favorable safety and tolerability; Reduce need for transfusions; Prevent chronic hemolysis and reduce the risk of acute hemolytic crises, Steroid sparing 
","An oral BTK inhibitor that provides first-in-class/best-in-class efficacy and a favorable safety profile
Comparison to Ianalumab

Comparable efficacy in terms of Hgb control, and reduction on hemolysis and fatigue improvement; Improve dyspnea; Improve symptoms of anemia; Favorable safety profile vs. ianalumab","Targeted and unique MoA to complete the therapeutic arsenal in currently underserved wAIHA indication; Favorable benefit/risk/convenience profile
",Alleviate fatigue; Alleviate dyspnea; Improve QoL and enable activities of daily living; Reduced need for transfusion; Reduced/eliminated steroids; Convenience of oral administration,"Provide improvement in clinical outcomes and patient quality of life;  Reduce healthcare resource utilization (e.g., reduced need in blood  transfusion, rescue therapy and hospitalization as well as savings on 
visits for drug administration given oral route)",Published,"400,401,402,403,404,405,406",Angela.Dudda@sanofi.com,Angela.Dudda@sanofi.com,2024-11-01 12:28:00.000,2024-11-29 16:53:00.000
SAR444671,SAR444671_IND009,For patients suffering from moderate to severe sickle cell disease,"Seek a treatment that jointly addresses the cardinal complications of the disease, i.e VOCs and anemia, with convenient RoA ","Rilzabrutinib is an oral BTKi that will be first-in-class providing treatment for sickle cell disease patient by decreasing the VOC episodes, sickling, hemolysis with subsequent improvement in  anemia and patient’s symptoms (fatigue and sickle cell pain crisis) with a good safety profile 
- Vs. Adakveo, an efficacy profile that combines improvement in anemia with similar (potentially better) reduction in VOC crises; chronic inflammation improvement 
- Vs. Oxbryta, an efficacy profile that combines decreasing VOC crises with similar anemia improvement; chronic inflammation improvement; decreases the number of hospitalizations as well as their duration","Etavopivat, Mitapivat, Inclaclumab

- Vs. Etavopivat, mitapivat, an efficacy profile that combines decreasing VOC crises with some anemia improvement; chronic inflammation improvement.
- Vs. Inclaclumab, a more convenient oral mode of administration and an overall better efficacy (rilza to confer both improvement in VOC and anemia) and safety profile
","- Offers a treatment option that is applicable to a broad patient population
- Addresses both anemia and VOC","- Significantly reduces patient burden:
   a) Reduces occurrence of acute crises and hospitalizations
   b) Reduces dependence on blood transfusions
- Decrease chronic and sickle cell pain crisis and fatigue
- Improves quality of life, patient productivity (e.g., less missed school or work’s days)
- Decrease of opioid drugs use
- LCM: Potentially prevents further disease progression / organ damage and potentially extend life expectancy (?)","- Reduce hospitalization due to VOCs and other clinical complications
- Improvement of productivity: patients will experience less missing work/school
- Reduction of concomitant drug used",Published,"407,408,409,410,411,412,413",Angela.Dudda@sanofi.com,Angela.Dudda@sanofi.com,2024-11-01 12:38:00.000,2024-11-29 16:57:00.000
